
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001782                       # Number of seconds simulated (Second)
simTicks                                   1782250000                       # Number of ticks simulated (Tick)
finalTick                                  1782250000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      9.28                       # Real time elapsed on the host (Second)
hostTickRate                                192148751                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     648428                       # Number of bytes of host memory used (Byte)
simInsts                                      2515852                       # Number of instructions simulated (Count)
simOps                                        4205021                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   271238                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     453350                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1782251                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         6152121                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       10                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        5863121                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  17175                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1947104                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1505086                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  10                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1769212                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.313973                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.764354                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    570605     32.25%     32.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     56364      3.19%     35.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    125856      7.11%     42.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    135064      7.63%     50.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    116668      6.59%     56.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    209746     11.86%     68.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    311178     17.59%     86.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    182465     10.31%     96.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     61266      3.46%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1769212                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  193966     99.94%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.94% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.94% # attempts to use FU when none available (Count)
