
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001493                       # Number of seconds simulated (Second)
simTicks                                   1493476500                       # Number of ticks simulated (Tick)
finalTick                                  1493476500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     21.27                       # Real time elapsed on the host (Second)
hostTickRate                                 70205992                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     649408                       # Number of bytes of host memory used (Byte)
simInsts                                      8108562                       # Number of instructions simulated (Count)
simOps                                       14479103                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   381169                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     680636                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          5973907                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14500511                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14510917                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    601                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                21404                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             21953                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             5885418                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.465571                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.861797                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2876690     48.88%     48.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    216307      3.68%     52.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    553520      9.40%     61.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    117901      2.00%     63.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    216084      3.67%     67.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    373750      6.35%     73.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    959786     16.31%     90.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    228975      3.89%     94.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    342405      5.82%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               5885418                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     298      0.15%      0.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 35358     18.14%     18.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     18.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     18.30% # attempts to use FU when none available (Count)
