
---------- Begin Simulation Statistics ----------
simSeconds                                   0.029684                       # Number of seconds simulated (Second)
simTicks                                  29684104750                       # Number of ticks simulated (Tick)
finalTick                                 29684104750                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    100.72                       # Real time elapsed on the host (Second)
hostTickRate                                294729532                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     653816                       # Number of bytes of host memory used (Byte)
simInsts                                     11382748                       # Number of instructions simulated (Count)
simOps                                       22691374                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   113018                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     225299                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        118736420                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        22812606                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       17                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       34920385                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9380                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               121243                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            172233                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  17                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           118643983                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.294329                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.983224                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 105325276     88.77%     88.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   5249497      4.42%     93.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1284315      1.08%     94.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2470663      2.08%     96.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2443479      2.06%     98.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1448564      1.22%     99.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    290917      0.25%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    122145      0.10%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      9127      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             118643983                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  100117      2.19%      2.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      2.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      2.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      2.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      2.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      2.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      2.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%      2.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%      2.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                     12      0.00%      2.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%      2.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      4      0.00%      2.20% # attempts to use FU when none available (Count)
