
---------- Begin Simulation Statistics ----------
simSeconds                                   0.026472                       # Number of seconds simulated (Second)
simTicks                                  26472074000                       # Number of ticks simulated (Tick)
finalTick                                 26472074000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     57.64                       # Real time elapsed on the host (Second)
hostTickRate                                459229339                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     656884                       # Number of bytes of host memory used (Byte)
simInsts                                     11382748                       # Number of instructions simulated (Count)
simOps                                       22691374                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   197464                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     393642                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         26472075                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        23049797                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       17                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       29560922                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  22187                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               358434                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            532631                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  17                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            26440112                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.118033                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.854170                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  16490709     62.37%     62.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3646031     13.79%     76.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1004516      3.80%     79.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1081465      4.09%     84.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   2144855      8.11%     92.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    955738      3.61%     95.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    665884      2.52%     98.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    299262      1.13%     99.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    151652      0.57%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              26440112                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   90082      4.19%      4.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      4.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      4.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      4.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      4.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%      4.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%      4.19% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%      4.19% # attempts to use FU when none available (Count)
