
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001582                       # Number of seconds simulated (Second)
simTicks                                   1581748350                       # Number of ticks simulated (Tick)
finalTick                                  1581748350                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     17.17                       # Real time elapsed on the host (Second)
hostTickRate                                 92146760                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     653272                       # Number of bytes of host memory used (Byte)
simInsts                                      8104300                       # Number of instructions simulated (Count)
simOps                                       14470889                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   472125                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     843017                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           455                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3476371                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14488388                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14498349                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    578                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                17494                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             17727                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3444454                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               4.209186                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.620097                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    521326     15.14%     15.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    150222      4.36%     19.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    510863     14.83%     34.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    141582      4.11%     38.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    170595      4.95%     43.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    410555     11.92%     55.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    957356     27.79%     83.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    233276      6.77%     89.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    348679     10.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3444454                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     167      0.08%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.08% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 34115     16.88%     16.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     16.96% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     16.96% # attempts to use FU when none available (Count)
